thread_id,timestamp,user_query,response
1,00:06:09,"What are the general rules that examiners must follow during an examination?

[Search only in: Exam manual]","### General Rules for Examiners (from Exam Manual, Sections 17.10.1 and 16.6.1)

Examiners must adhere to the following general rules during examinations:

- **Treat all candidates with dignity and respect.**
- **Ensure that each candidate is treated equitably and fairly** (with even application of academic standards).
- **Judge each candidate based on their performance in the examination** without being influenced by any extraneous factors.
- **Assess each candidate following prevailing regulations, accepted guidelines, and conventions.**
- **Be present through the entire duration of the examination.**
- **Be devoid of conflicts of interest** and adhere to examination rules and principles of natural justice.

These rules emphasize fairness, presence, and impartiality. Specific rules (e.g., disclosing conflicts, familiarizing with marking schemes) and session instructions (e.g., introducing oneself, creating a non-stressful environment) provide additional guidance but are categorized separately."
1,00:34:57,"What is the maximum period allowed for a student to fulfill all requirements of the Bachelor of the Science of Engineering Honours degree?

[Search only in: By-law]","**Maximum Period: 8 academic years**

From the By-laws (Section 9.0 - Award of the Degree):

""A student shall be eligible for the conferment of the degree in Bachelor of the Science of Engineering Honours after the successful completion of all the stipulated requirements in section 7 **within a maximum period of eight academic years from the date of the first registration to the faculty**.""

**Notes:**
- Normally, eligibility for a class (e.g., First Class) requires completion within 4 academic years (Section 8.1).
- Extensions beyond 4 years may be granted under extenuating circumstances (Section 8.4), but the absolute maximum is 8 years."
1,00:44:40,"Who is responsible for preparing the draft academic calendar, including examination dates?

[Search only in: Exam manual]","**Registrar (with concurrence of the Dean)**

From the Exam Manual (Section 1.1.2 - Calendar of Dates):

""The draft calendar for the academic year **inclusive of the dates of examinations shall be prepared by the Registrar with the concurrence of the Dean**. The Faculty Board shall approve the academic calendar.""

**Additional Context:**
- The Registrar is the overall in-charge of examinations under the Dean's direction (Section on Registrar's responsibilities).
- Approval must be obtained one month prior to the academic year (1.1.3), and revisions require notice or Senate approval in emergencies (1.1.4)."
1,00:51:36,"When was the Faculty of Engineering, University of Ruhuna established, and when was the first batch admitted?

[Search only in: Student handbook]","**Established: 1st July 1999**  
**First batch admitted: 27th March 2000**

From the Student Handbook (Chapter 2.1 - Introduction):

""The Faculty of Engineering of University of Ruhuna was established on 1st July 1999 at Hapugala, Galle. First batch of students was admitted on 27th March 2000."""
1,01:10:28,"What is the maximum period allowed for a student to fulfill all requirements of the Bachelor of the Science of Engineering Honours degree?

[Search only in: By-law]","Based on the By-law, the maximum period allowed for a student to fulfill all requirements of the Bachelor of Science of Engineering Honours degree is **eight academic years** from the date of the first registration to the faculty."
1,01:12:54,"What is the maximum period allowed for a student to fulfill all requirements of the Bachelor of the Science of Engineering Honours degree?

[Search only in: By-law]",The maximum period allowed for a student to fulfill all requirements of the Bachelor of Science of Engineering Honours degree is **eight academic years** from the date of first registration to the faculty.
1,01:16:46,"Who is responsible for preparing the draft academic calendar, including examination dates?

[Search only in: Exam manual]","Based on the exam manual, the **Registrar** is responsible for preparing the draft academic calendar, including examination dates, with the concurrence of the Dean."
1,01:22:57,"When was the Faculty of Engineering, University of Ruhuna established, and when was the first batch admitted?

[Search only in: Student handbook]","Based on the student handbook, the Faculty of Engineering, University of Ruhuna was **established on 1st July 1999** at Hapugala, Galle, and the **first batch of students was admitted on 27th March 2000**."
1,01:34:52,"What is the maximum period allowed for a student to fulfill all requirements of the Bachelor of the Science of Engineering Honours degree?

[Search only in: By-law]","
Based on the By-law for the Bachelor of the Science of Engineering Honours degree, the maximum period allowed for a student to fulfill all requirements is **eight academic years** from the date of first registration to the faculty.

This is specified in Section 9.0 of the By-law, which states:

""A student shall be eligible for the conferment of the degree in Bachelor of the Science of Engineering Honours after the successful completion of all the stipulated requirements in section 7 within a maximum period of eight academic years from the date of the first registration to the faculty."""
1,01:38:14,"Who is responsible for preparing the draft academic calendar, including examination dates?

[Search only in: Exam manual]","
Based on the exam manual, the **Registrar** is responsible for preparing the draft academic calendar, including examination dates.

According to Section 1.1.2 of the exam manual:

""The draft calendar for the academic year inclusive of the dates of examinations shall be prepared by the Registrar with the concurrence of the Dean. The Faculty Board shall approve the academic calendar.""

So the process is:
1. **Registrar** prepares the draft calendar with examination dates
2. The Dean provides concurrence
3. The Faculty Board approves the final calendar

The Registrar is also responsible for finalizing the examination timetable and ensuring it is made available to students and staff through multiple modes, including on the Faculty Webpage."
1,01:48:22,"When was the Faculty of Engineering, University of Ruhuna established, and when was the first batch admitted?

[Search only in: Student handbook]","
Based on the student handbook, the Faculty of Engineering, University of Ruhuna was established on **1st July 1999** at Hapugala, Galle, and the first batch of students was admitted on **27th March 2000**.

The handbook also mentions that this faculty is the third conventional Faculty of Engineering in Sri Lanka, after those at the University of Peradeniya and the University of Moratuwa."
1,02:10:53,"What is the maximum period allowed for a student to fulfill all requirements of the Bachelor of the Science of Engineering Honours degree?

[Search only in: By-law]","**Maximum period allowed to complete the Bachelor of the Science of Engineering Honours**

According to the University of Ruhuna’s *By‑law No. 42‑2024* for the Bachelor of the Science of Engineering Honours (BSc Eng Hons), a student must fulfil all the programme requirements **within a maximum period of eight academic years** from the date of the first registration to the faculty.  

> *“A student shall be eligible for the conferment of the degree in Bachelor of the Science of Engineering Honours after the successful completion of all the stipulated requirements in section 7 within a maximum period of **eight academic years** from the date of the first registration to the faculty.”* (By‑law No. 42‑2024, Section 9.0)

If the student does not complete the degree within this period, the admission is considered cancelled and the student must re‑apply for admission."
1,02:15:57,"Who is responsible for preparing the draft academic calendar, including examination dates?

[Search only in: Exam manual]","**Answer**

The draft academic calendar – which includes all examination dates – is prepared by the **Registrar** in conjunction with the **Dean of the Faculty**.  

*Source – University of Ruhuna Exam Manual, Section 1.1.2:*

> “The draft calendar for the academic year inclusive of the dates of examinations shall be prepared by the Registrar with the concurrence of the Dean. The Faculty Board shall approve the academic calendar.”

Thus, the Registrar drafts the calendar, the Dean reviews and concurs, and the Faculty Board gives final approval."
1,02:19:38,"When was the Faculty of Engineering, University of Ruhuna established, and when was the first batch admitted?

[Search only in: Student handbook]","**Faculty of Engineering, University of Ruhuna**

| Item | Information | Source |
|------|-------------|--------|
| **Establishment of the Faculty** | The Faculty of Engineering was established on **1 July 1999** at Hapugala, Galle. | Student Handbook – Chapter 2, Section 2.1.1 |
| **First batch admitted** | The first cohort of engineering students was admitted on **27 March 2000**. | Student Handbook – Chapter 2, Section 2.1.2 |

These dates are recorded in the University of Ruhuna Student Handbook (Academic Year 2022/2023), which provides the historical background of the Faculty of Engineering."
